controller,cost,carbon,comfort
rule_based,56.493906090043126,34.502048325980866,536.2726176065875
always_on,22.51479636948865,15.737688804497925,0.0
carbon_aware_rule,21.76530188904085,15.345616566715899,0.0
random,22.546814075919777,15.783730531461908,101.01640727324914
