controller,type,mean_cost,std_cost,mean_carbon,std_carbon,mean_reward,std_reward,mean_comfort
SAC-Transformer,RL,22.124930285147514,0.7558815016353897,15.377886823091796,0.4784959921769802,-18.751408554119646,0.6026885462520227,0.0
SAC-TemporalTransformer,RL,21.929556233592884,1.1023247838006762,15.254436314797298,0.584884194989427,-18.591996274195097,0.8376661981527811,0.0
rule_based,Baseline,56.08930625304189,1.054460609971432,34.312346528387465,0.6112682394255257,-5427.514923816245,34.480526605543844,538.2314097425528
always_on,Baseline,22.18218745910187,0.6989436078288013,15.4863662032615,0.4653417656087687,-18.834276831181683,0.5573512566138624,0.0
carbon_aware_rule,Baseline,22.23198044974853,1.0452367978632258,15.561010023301614,0.6861539163725117,-18.918637953207732,0.8498868775874469,0.0022142716682668337
random,Baseline,22.066464481457057,1.001786473208656,15.53597713446248,0.5988553807548421,-1043.697325245569,18.419158690681844,102.48961044376092
night_setback,Baseline,48.392246260446015,1.1117354539494033,35.08618836685003,0.7441915649093228,-4118.707732810217,35.26211483509712,407.69685154965674
